CODE,AREA,AGE GROUP,SEX,2018,2019,2020,2021,2022
E06000003,Redcar and Cleveland,5-9,M,4253,4306.8,4311.0,4229.2,4124.7
E06000003,Redcar and Cleveland,10-14,M,4087,4130.2,4200.6,4261.4,4418.3
E06000003,Redcar and Cleveland,15-19,M,3680,3668.8,3683.7,3828.1,3937.7
E06000003,Redcar and Cleveland,20-24,M,3868,3806.3,3725.4,3586.1,3505.1
E06000003,Redcar and Cleveland,25-29,M,4084,4146.5,4160.1,4195.4,4090.0
E06000003,Redcar and Cleveland,30-34,M,3821,3884.5,3942.9,3983.2,4045.0
E06000003,Redcar and Cleveland,35-39,M,3478,3595.9,3647.7,3688.4,3828.6
E06000003,Redcar and Cleveland,40-44,M,3275,3217.2,3297.0,3360.4,3443.4
E06000003,Redcar and Cleveland,45-49,M,4204,3988.3,3801.6,3668.4,3464.2
E06000003,Redcar and Cleveland,50-54,M,4869,4761.0,4670.4,4465.4,4353.0
E06000003,Redcar and Cleveland,55-59,M,4898,5009.7,5037.6,5149.0,5114.3
E06000003,Redcar and Cleveland,60-64,M,4270,4399.4,4565.1,4651.4,4794.6
E06000003,Redcar and Cleveland,65-69,M,3928,3887.4,3879.0,3926.4,4026.7
E06000003,Redcar and Cleveland,70-74,M,3987,4060.1,4022.9,4016.4,3789.1
E06000003,Redcar and Cleveland,75-79,M,2758,2847.6,2986.6,3097.1,3363.6
E06000003,Redcar and Cleveland,80-84,M,1854,1964.7,2014.5,2067.3,2104.2
E06000003,Redcar and Cleveland,85-89,M,947,985.5,1009.2,1055.3,1112.2
E06000003,Redcar and Cleveland,90+,M,420,419.9,444.5,454.1,470.7
E06000003,Redcar and Cleveland,0-4,F,3612,3543.9,3483.8,3442.4,3348.6
E06000003,Redcar and Cleveland,5-9,F,4006,4075.1,4084.7,3955.4,3937.7
E06000003,Redcar and Cleveland,10-14,F,3681,3774.6,3887.1,3991.0,4044.5
E06000003,Redcar and Cleveland,15-19,F,3428,3347.2,3319.1,3441.4,3575.0
E06000003,Redcar and Cleveland,20-24,F,3483,3371.9,3308.8,3253.4,3110.4
E06000003,Redcar and Cleveland,25-29,F,4160,4109.4,4028.1,3906.9,3807.3
E06000003,Redcar and Cleveland,30-34,F,4246,4353.3,4374.2,4349.7,4438.5
E06000003,Redcar and Cleveland,35-39,F,3905,4011.7,4090.9,4209.2,4234.7
E06000003,Redcar and Cleveland,40-44,F,3563,3536.0,3641.7,3736.6,3920.9
E06000003,Redcar and Cleveland,45-49,F,4678,4474.8,4265.3,4037.1,3786.0
E06000003,Redcar and Cleveland,50-54,F,5297,5276.0,5131.5,5037.9,4915.1
E06000003,Redcar and Cleveland,55-59,F,5167,5243.9,5378.6,5500.0,5489.9
E06000003,Redcar and Cleveland,60-64,F,4534,4634.6,4826.7,4950.1,5186.9
E06000003,Redcar and Cleveland,65-69,F,4414,4367.5,4306.1,4366.2,4451.4
E06000003,Redcar and Cleveland,70-74,F,4346,4492.2,4575.8,4517.8,4270.3
E06000003,Redcar and Cleveland,75-79,F,3090,3150.4,3198.8,3420.6,3717.5
E06000003,Redcar and Cleveland,80-84,F,2374,2475.1,2549.1,2532.0,2552.3
E06000003,Redcar and Cleveland,85-89,F,1442,1476.3,1503.2,1522.8,1600.2
E06000003,Redcar and Cleveland,90+,F,875,900.9,920.6,940.2,954.3
E06000005,Darlington,0-4,M,3059,2942.5,2870.3,2792.1,2776.3
E06000005,Darlington,5-9,M,3405,3386.8,3338.8,3318.3,3210.4
E06000005,Darlington,10-14,M,3223,3257.4,3307.2,3313.6,3360.2
E06000005,Darlington,15-19,M,2886,2907.8,2945.4,3039.1,3059.7
E06000005,Darlington,20-24,M,2728,2623.2,2523.7,2451.2,2391.6
E06000005,Darlington,25-29,M,2973,3023.7,3065.8,2981.5,2932.7
E06000005,Darlington,30-34,M,3179,3162.7,3150.9,3191.3,3199.6
E06000005,Darlington,35-39,M,3272,3234.0,3214.4,3148.6,3175.6
E06000005,Darlington,40-44,M,3026,3088.2,3100.1,3227.6,3241.1
E06000005,Darlington,45-49,M,3628,3483.3,3343.9,3160.9,3056.6
E06000005,Darlington,50-54,M,3842,3866.9,3803.7,3727.3,3676.1
E06000005,Darlington,55-59,M,3694,3710.0,3863.5,3922.5,3902.8
E06000005,Darlington,60-64,M,3100,3158.2,3182.9,3286.0,3438.8
E06000005,Darlington,65-69,M,2905,2845.4,2877.9,2916.2,2932.3
E06000005,Darlington,70-74,M,2743,2879.9,2861.0,2848.5,2730.4
E06000005,Darlington,75-79,M,1880,1899.7,2002.3,2115.6,2314.6
E06000005,Darlington,80-84,M,1339,1414.9,1446.9,1459.4,1487.4
E06000005,Darlington,85-89,M,700,743.5,786.6,809.0,835.6
E06000005,Darlington,90+,M,337,345.1,352.5,369.9,390.4
E06000005,Darlington,0-4,F,2858,2804.3,2745.0,2682.9,2634.0
E06000005,Darlington,5-9,F,3245,3204.6,3156.7,3114.9,2987.7
E06000005,Darlington,10-14,F,3187,3250.8,3346.8,3331.6,3399.8
E06000005,Darlington,15-19,F,2770,2662.2,2656.2,2769.6,2876.6
E06000005,Darlington,20-24,F,2701,2722.6,2666.3,2568.1,2503.1
E06000005,Darlington,25-29,F,3294,3289.8,3238.5,3178.3,3093.5
E06000005,Darlington,30-34,F,3426,3374.3,3387.5,3429.0,3476.2
E06000005,Darlington,35-39,F,3365,3405.9,3378.3,3392.7,3404.5
E06000005,Darlington,40-44,F,3276,3222.6,3280.1,3298.0,3411.3
E06000005,Darlington,45-49,F,3767,3774.0,3634.3,3496.8,3297.8
E06000005,Darlington,50-54,F,4012,3920.5,3894.1,3817.0,3754.7
E06000005,Darlington,55-59,F,3791,3843.5,3916.0,3985.2,3981.3
E06000005,Darlington,60-64,F,3271,3401.3,3535.3,3620.3,3704.1
E06000005,Darlington,65-69,F,3055,3029.2,2956.7,3005.9,3081.8
E06000005,Darlington,70-74,F,2997,3049.6,3111.4,3124.7,2957.9
E06000005,Darlington,75-79,F,2057,2090.2,2176.2,2306.6,2591.9
E06000005,Darlington,80-84,F,1756,1848.9,1839.0,1821.9,1800.5
E06000005,Darlington,85-89,F,1098,1100.2,1143.0,1187.6,1228.3
E06000005,Darlington,90+,F,721,727.4,728.9,723.7,726.3
